variant,step,fact_id,condition,layer,flipped,first_flip_layer
step_00050,50,cf_1166,latent,4,False,
step_00050,50,cf_1166,latent,5,True,
step_00050,50,cf_1166,latent,6,True,
step_00050,50,cf_1166,latent,7,True,
step_00050,50,cf_1166,latent,8,True,
step_00050,50,cf_1166,latent,9,True,
step_00050,50,cf_1166,latent,10,True,
step_00050,50,cf_1166,latent,11,True,
step_00050,50,cf_1166,latent,12,True,
step_00050,50,cf_1166,latent,13,True,
step_00050,50,cf_1166,latent,14,True,
step_00050,50,cf_1166,latent,15,True,
step_00050,50,cf_1166,latent,16,True,
step_00050,50,cf_1166,latent,17,True,
step_00050,50,cf_1166,latent,18,True,
step_00050,50,cf_1166,latent,19,True,
step_00050,50,cf_1166,latent,20,True,
step_00050,50,cf_1166,latent,21,True,
step_00050,50,cf_1166,latent,22,True,
step_00050,50,cf_1166,latent,23,True,
step_00050,50,cf_1166,latent,24,True,
step_00050,50,cf_1166,latent,-1,True,5.0
step_00050,50,cf_2247,latent,0,False,
step_00050,50,cf_2247,latent,1,False,
step_00050,50,cf_2247,latent,2,False,
step_00050,50,cf_2247,latent,3,False,
step_00050,50,cf_2247,latent,4,False,
step_00050,50,cf_2247,latent,5,False,
step_00050,50,cf_2247,latent,6,False,
step_00050,50,cf_2247,latent,7,False,
step_00050,50,cf_2247,latent,8,False,
step_00050,50,cf_2247,latent,9,False,
step_00050,50,cf_2247,latent,10,False,
step_00050,50,cf_2247,latent,11,False,
step_00050,50,cf_2247,latent,12,False,
step_00050,50,cf_2247,latent,13,False,
step_00050,50,cf_2247,latent,14,False,
step_00050,50,cf_2247,latent,15,False,
step_00050,50,cf_2247,latent,16,False,
step_00050,50,cf_2247,latent,17,False,
step_00050,50,cf_2247,latent,18,False,
step_00050,50,cf_2247,latent,19,False,
step_00050,50,cf_2247,latent,20,False,
step_00050,50,cf_2247,latent,21,False,
step_00050,50,cf_2247,latent,22,False,
step_00050,50,cf_2247,latent,23,False,
step_00050,50,cf_2247,latent,24,False,
step_00050,50,cf_2247,latent,-1,False,
step_00050,50,cf_98,latent,0,False,
step_00050,50,cf_98,latent,1,False,
step_00050,50,cf_98,latent,2,False,
step_00050,50,cf_98,latent,3,False,
step_00050,50,cf_98,latent,4,False,
step_00050,50,cf_98,latent,5,False,
step_00050,50,cf_98,latent,6,False,
step_00050,50,cf_98,latent,7,False,
step_00050,50,cf_98,latent,8,False,
step_00050,50,cf_98,latent,9,False,
step_00050,50,cf_98,latent,10,False,
step_00050,50,cf_98,latent,11,False,
step_00050,50,cf_98,latent,12,False,
step_00050,50,cf_98,latent,13,False,
step_00050,50,cf_98,latent,14,False,
step_00050,50,cf_98,latent,15,False,
step_00050,50,cf_98,latent,16,False,
step_00050,50,cf_98,latent,17,False,
step_00050,50,cf_98,latent,18,False,
step_00050,50,cf_98,latent,19,False,
step_00050,50,cf_98,latent,20,False,
step_00050,50,cf_98,latent,21,False,
step_00050,50,cf_98,latent,22,False,
step_00050,50,cf_98,latent,23,False,
step_00050,50,cf_98,latent,24,False,
step_00050,50,cf_98,latent,-1,False,
step_00050,50,cf_3636,latent,0,True,
step_00050,50,cf_3636,latent,1,True,
step_00050,50,cf_3636,latent,2,True,
step_00050,50,cf_3636,latent,3,True,
