variant,step,fact_id,condition,control,layer,flipped,logit_diff,first_flip_layer,first_positive_diff_layer
final,535,cf_12911,latent,self,3,False,5.242486000061035,,
final,535,cf_12911,latent,self,4,False,5.242486000061035,,
final,535,cf_12911,latent,self,5,False,5.242486000061035,,
final,535,cf_12911,latent,self,6,False,5.242486000061035,,
final,535,cf_12911,latent,self,7,False,5.242486000061035,,
final,535,cf_12911,latent,self,8,False,5.242486000061035,,
final,535,cf_12911,latent,self,9,False,5.242486000061035,,
final,535,cf_12911,latent,self,10,False,5.242486000061035,,
final,535,cf_12911,latent,self,11,False,5.242486000061035,,
final,535,cf_12911,latent,self,12,False,5.242486000061035,,
final,535,cf_12911,latent,self,13,False,5.242486000061035,,
final,535,cf_12911,latent,self,14,False,5.242486000061035,,
final,535,cf_12911,latent,self,15,False,5.242486000061035,,
final,535,cf_12911,latent,self,16,False,5.242486000061035,,
final,535,cf_12911,latent,self,17,False,5.242486000061035,,
final,535,cf_12911,latent,self,18,False,5.242486000061035,,
final,535,cf_12911,latent,self,19,False,5.242486000061035,,
final,535,cf_12911,latent,self,20,False,5.242486000061035,,
final,535,cf_12911,latent,self,21,False,5.242486000061035,,
final,535,cf_12911,latent,self,22,False,5.242486000061035,,
final,535,cf_12911,latent,self,23,False,5.242486000061035,,
final,535,cf_12911,latent,self,24,False,4.838642120361328,,
final,535,cf_12911,latent,self,-1,False,,,0.0
final,535,cf_7199,latent,self,0,False,8.580476760864258,,
final,535,cf_7199,latent,self,1,False,8.580476760864258,,
final,535,cf_7199,latent,self,2,False,8.580476760864258,,
final,535,cf_7199,latent,self,3,False,8.580476760864258,,
final,535,cf_7199,latent,self,4,False,8.580476760864258,,
final,535,cf_7199,latent,self,5,False,8.580476760864258,,
final,535,cf_7199,latent,self,6,False,8.580476760864258,,
final,535,cf_7199,latent,self,7,False,8.580476760864258,,
final,535,cf_7199,latent,self,8,False,8.580476760864258,,
final,535,cf_7199,latent,self,9,False,8.580476760864258,,
final,535,cf_7199,latent,self,10,False,8.580476760864258,,
final,535,cf_7199,latent,self,11,False,8.580476760864258,,
