variant,step,condition,prompt_type,lens,final_accuracy,final_top5_accuracy,final_mrr,mean_final_logprob,mean_first_layer,n_first_layer,frac_never_top1,n_prompts,rank
r16,16,synthetic,paraphrase,logit,0.24625623960066556,0.5374376039933444,0.3791138549107156,-3.5605812383205095,21.597826086956523,184,0.6938435940099834,601,16
r32,32,synthetic,paraphrase,logit,0.41098169717138106,0.6672212978369384,0.529563373949092,-2.7286193459868096,21.133093525179856,278,0.5374376039933444,601,32
base,0,synthetic,train,logit,0.0,0.005,0.01109078257467776,-8.942163188457489,,0,1.0,200,0
r4,4,synthetic,train,logit,0.235,0.54,0.3839763144018146,-3.335262106694281,22.285714285714285,63,0.685,200,4
r8,8,synthetic,train,logit,0.335,0.695,0.48461673686310613,-2.69733459956944,22.25609756097561,82,0.59,200,8
r16,16,synthetic,train,logit,0.54,0.79,0.6541538150191163,-2.0221281582303345,22.243697478991596,119,0.405,200,16
r32,32,synthetic,train,logit,0.73,0.93,0.817611031262817,-1.1003483696293552,21.12987012987013,154,0.23,200,32
base,0,unknown,paraphrase,logit,0.023286759813705923,0.14171656686626746,0.08702010201676588,-6.7932528074203695,19.912280701754387,57,0.9620758483033932,1503,0
r4,4,unknown,paraphrase,logit,0.4550898203592814,0.729208250166334,0.5795923010184479,-2.372562397022957,20.935233160621763,772,0.4863606121091151,1503,4
r8,8,unknown,paraphrase,logit,0.5282767797737857,0.7671324018629407,0.6343379490592898,-2.150824282249806,20.689252336448597,856,0.4304723885562209,1503,8
r16,16,unknown,paraphrase,logit,0.5721889554224884,0.8023952095808383,0.6744102941026051,-1.9298527402346626,20.611288604898828,939,0.37524950099800397,1503,16
r32,32,unknown,paraphrase,logit,0.6393878908848969,0.8642714570858283,0.7366441796121098,-1.5914718616123602,20.066218809980807,1042,0.30671989354624085,1503,32
base,0,unknown,train,logit,0.0,0.0,0.02988193335201663,-7.374056722640991,19.6,5,0.99,500,0
r4,4,unknown,train,logit,0.598,0.838,0.7046770838741421,-1.6599024158874527,21.155555555555555,315,0.37,500,4
r8,8,unknown,train,logit,0.718,0.898,0.7947606363680753,-1.2342389726638794,21.072580645161292,372,0.256,500,8
r16,16,unknown,train,logit,0.782,0.942,0.8532738989994425,-0.9410976344377268,20.769607843137255,408,0.184,500,16
r32,32,unknown,train,logit,0.896,0.97,0.9297246212455738,-0.5278637217388604,20.176855895196507,458,0.084,500,32
base,0,known,paraphrase,tuned,0.4266666666666667,0.738,0.5664730792523348,-2.89786733738333,19.348557692307693,832,0.44533333333333336,1500,0
r4,4,known,paraphrase,tuned,0.8986666666666666,0.9873333333333333,0.9392694490242878,-0.40073221312395374,18.517433751743376,1434,0.044,1500,4
r8,8,known,paraphrase,tuned,0.9133333333333333,0.9906666666666667,0.9488924998193933,-0.34077766270328236,18.286307053941908,1446,0.036,1500,8
r16,16,known,paraphrase,tuned,0.9253333333333333,0.99,0.9553325609776073,-0.3080053160593816,18.19446366782007,1445,0.03666666666666667,1500,16
r32,32,known,paraphrase,tuned,0.9246666666666666,0.992,0.9557603965854983,-0.2719912312642361,18.04765193370166,1448,0.034666666666666665,1500,32
base,0,known,train,tuned,1.0,1.0,1.0,-1.6416757940649986,19.54,500,0.0,500,0
r4,4,known,train,tuned,0.984,1.0,0.9911666666666666,-0.14520907758151588,17.949698189134807,497,0.006,500,4
r8,8,known,train,tuned,0.988,1.0,0.994,-0.11803752937688841,17.914,500,0.0,500,8
r16,16,known,train,tuned,0.994,1.0,0.997,-0.08938689990262355,17.693386773547093,499,0.002,500,16
r32,32,known,train,tuned,0.996,1.0,0.998,-0.06197845736627641,17.743486973947896,499,0.002,500,32
base,0,latent,paraphrase,tuned,0.11318242343541944,0.5832223701731025,0.3094587772009074,-4.062834360370147,19.93235294117647,340,0.7736351531291611,1502,0
r4,4,latent,paraphrase,tuned,0.8095872170439414,0.96271637816245,0.8794881488971782,-0.7274332568540824,19.07033639143731,1308,0.12916111850865514,1502,4
r8,8,latent,paraphrase,tuned,0.848202396804261,0.9713715046604527,0.9050905008450241,-0.5962814873060553,18.948942377826405,1371,0.08721704394141146,1502,8
r16,16,latent,paraphrase,tuned,0.8588548601864181,0.9766977363515313,0.912585186623706,-0.5330988871089325,18.809384164222873,1364,0.09187749667110519,1502,16
r32,32,latent,paraphrase,tuned,0.8914780292942743,0.978029294274301,0.9308739652533837,-0.4568668320827369,18.65573770491803,1403,0.0659121171770972,1502,32
base,0,latent,train,tuned,0.0,1.0,0.35223333333333334,-3.2231136281490325,19.90082644628099,121,0.758,500,0
r4,4,latent,train,tuned,0.92,1.0,0.9563333333333334,-0.35394152415837743,18.826722338204593,479,0.042,500,4
r8,8,latent,train,tuned,0.956,1.0,0.9773333333333334,-0.26026762278715615,18.71486761710794,491,0.018,500,8
r16,16,latent,train,tuned,0.978,1.0,0.989,-0.1822093630710151,18.489919354838708,496,0.008,500,16
r32,32,latent,train,tuned,0.988,1.0,0.9935,-0.10737418555631302,18.18108651911469,497,0.006,500,32
base,0,synthetic,paraphrase,tuned,0.0,0.024958402662229616,0.01993421321975009,-8.741169994563707,20.0,3,0.9950083194675541,601,0
r4,4,synthetic,paraphrase,tuned,0.13643926788685523,0.39267886855241263,0.2596585218894948,-4.290610456476593,21.083333333333332,120,0.800332778702163,601,4
r8,8,synthetic,paraphrase,tuned,0.18136439267886856,0.47088186356073214,0.31362362692136714,-3.936833641952068,20.87741935483871,155,0.7420965058236273,601,8
r16,16,synthetic,paraphrase,tuned,0.24625623960066556,0.5374376039933444,0.3791138549107156,-3.5605812383205095,20.7,190,0.6838602329450915,601,16
r32,32,synthetic,paraphrase,tuned,0.41098169717138106,0.6672212978369384,0.529563373949092,-2.7286193459868096,20.570934256055363,289,0.519134775374376,601,32
base,0,synthetic,train,tuned,0.0,0.005,0.01109078257467776,-8.942163188457489,20.0,1,0.995,200,0
r4,4,synthetic,train,tuned,0.235,0.54,0.3839763144018146,-3.335262106694281,21.647058823529413,68,0.66,200,4
r8,8,synthetic,train,tuned,0.335,0.695,0.48461673686310613,-2.69733459956944,21.413793103448278,87,0.565,200,8
r16,16,synthetic,train,tuned,0.54,0.79,0.6541538150191163,-2.0221281582303345,21.387096774193548,124,0.38,200,16
r32,32,synthetic,train,tuned,0.73,0.93,0.817611031262817,-1.1003483696293552,20.4,160,0.2,200,32
