variant,step,condition,prompt_type,lens,final_accuracy,final_top5_accuracy,final_mrr,mean_final_logprob,mean_first_layer,n_first_layer,frac_never_top1,n_prompts
step_00350,350,unknown,paraphrase,tuned,0.49367930805056554,0.739853626081171,0.6065435417681436,-2.301795275280988,19.794536817102138,842,0.4397870924817033,1503
step_00400,400,unknown,paraphrase,tuned,0.5262807717897539,0.7604790419161677,0.6327427826262578,-2.1379754267130973,19.935300794551647,881,0.4138389886892881,1503
step_00450,450,unknown,paraphrase,tuned,0.5256154357950765,0.7704590818363274,0.6382203087946575,-2.0735891621633598,19.80156950672646,892,0.40652029274783763,1503
step_00500,500,unknown,paraphrase,tuned,0.5515635395874917,0.7831004657351963,0.6551584351680148,-2.0116395033485244,19.967069154774972,911,0.39387890884896876,1503
final,535,unknown,paraphrase,tuned,0.5615435795076513,0.7917498336660014,0.6639282464004691,-2.0043593260956922,19.7502691065662,929,0.3819028609447771,1503
base,0,unknown,train,tuned,0.0,0.0,0.02988193335201663,-7.374056722640991,20.0,7,0.986,500
step_00050,50,unknown,train,tuned,0.314,0.558,0.4315079979428838,-3.5563236535047182,20.65745856353591,181,0.638,500
step_00100,100,unknown,train,tuned,0.388,0.678,0.5091846675411619,-2.914656445031986,20.111607142857142,224,0.552,500
step_00150,150,unknown,train,tuned,0.436,0.712,0.5609044757889187,-2.515598392063286,20.484251968503937,254,0.492,500
step_00200,200,unknown,train,tuned,0.494,0.75,0.6099012743709178,-2.196510790755972,20.042857142857144,280,0.44,500
step_00250,250,unknown,train,tuned,0.534,0.79,0.6456825223826351,-1.9682126883300952,20.14189189189189,296,0.408,500
step_00300,300,unknown,train,tuned,0.602,0.818,0.696636974886565,-1.7654205196020194,20.221875,320,0.36,500
step_00350,350,unknown,train,tuned,0.622,0.828,0.7169359873854352,-1.6140549651032778,19.988165680473372,338,0.324,500
step_00400,400,unknown,train,tuned,0.676,0.858,0.7600352923482754,-1.4077936674172524,20.1900826446281,363,0.274,500
step_00450,450,unknown,train,tuned,0.7,0.896,0.787917425592986,-1.2086864436971956,19.97826086956522,368,0.264,500
step_00500,500,unknown,train,tuned,0.742,0.922,0.8207129302115148,-1.1057693983917125,20.149367088607594,395,0.21,500
final,535,unknown,train,tuned,0.768,0.92,0.8334775971250281,-1.0563414503684034,19.895674300254452,393,0.214,500
